Player,Assists_Over,Assists_Under,Assists_Line,Points_Over,Points_Under,Points_Line,Points_Over,Points_Under,Points_Line,Rebounds_Over,Rebounds_Under,Rebounds_Line,Threes_Over,Threes_Under,Threes_Line
Jarrett Allen,,-130,2.5,-114,,29.5,-114,,29.5,-125,,10.5,,,
Evan Mobley,,-125,2.5,,-114,27.5,,-114,27.5,,108,9.5,,-149,0.5
Franz Wagner,-130,,3.5,-111,,28.5,-111,,28.5,,111,4.5,-116,,1.5
Jalen Suggs,,-161,2.5,-102,,17.5,-102,,17.5,,-139,3.5,-192,,1.5
Donovan Mitchell,,-106,5.5,-112,,36.5,-112,,36.5,-112,,4.5,,-175,3.5
Paolo Banchero,-133,,5.5,,-106,32.5,,-106,32.5,-106,,6.5,,-159,1.5
Cole Anthony,130,,2.5,,-118,14.5,,-118,14.5,115,,3.5,-130,,0.5
Wendell Carter Jr.,,,,,-104,18.5,,-104,18.5,,100,6.5,,164,0.5
Jonathan Isaac,,,,,-130,11.5,,-130,11.5,,-123,4.5,136,,0.5
Moritz Wagner,,,,,-105,10.5,,-105,10.5,,124,2.5,204,,0.5
Scottie Barnes,-152,,6.5,-108,,36.5,-108,,36.5,-112,,7.5,,-179,1.5
Jakob Poeltl,130,,2.5,,-114,23.5,,-114,23.5,,108,8.5,,,
Mikal Bridges,,-149,3.5,-103,,31.5,-103,,31.5,,-161,4.5,-164,,2.5
Immanuel Quickley,,-143,6.5,,-135,26.5,,-135,26.5,,-108,3.5,,-156,2.5
RJ Barrett,104,,3.5,-114,,30.5,-114,,30.5,106,,6.5,,-200,1.5
Bruce Brown,103,,2.5,,-110,16.5,,-110,16.5,-159,,3.5,-112,,0.5
Ben Simmons,,109,5.5,-110,,19.5,-110,,19.5,,128,5.5,,,
Kelly Olynyk,,-141,3.5,,-114,16.5,,-114,16.5,-114,,4.5,,-116,0.5
Dennis Smith Jr.,,-110,2.5,,,,,,,,-135,2.5,128,,0.5
Gary Trent Jr.,,,,,-108,14.5,,-108,14.5,,-167,2.5,,139,1.5
Nicolas Claxton,,,,-102,,24.5,-102,,24.5,-137,,9.5,,,
Gradey Dick,,,,-123,,10.5,-123,,10.5,-192,,1.5,-109,,1.5
Pascal Siakam,-152,,3.5,,-106,33.5,,-106,33.5,110,,6.5,,-185,1.5
